run_name,family,backbone,representation,train_positive_subset_pct,seed,split,best_epoch,threshold,pr_auc_geomean,pixel_iou,pixel_f1,object_precision,object_recall,object_f1,git_sha,config_path
fm_dinov3sat_l_rgb,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB,100,mean,val_realistic,,0.5,0.913277,0.585732,0.735355,0.540867,0.560494,0.550471,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
fm_dinov3sat_l_rgb,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB,100,std,val_realistic,,0.5,0.011205,0.098856,0.081764,0.04785,0.043404,0.045469,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
fm_dinov3sat_l_rgb_locked,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB,100,mean,val_realistic,,0.5,0.917704,0.595914,0.746581,0.347595,0.616162,0.444456,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
fm_dinov3sat_l_rgb_locked,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB,100,std,val_realistic,,0.5,0.00983,0.025915,0.020188,0.006254,0.008747,0.007378,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
c3_vitl_ndvi_scale25,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB+NDVI,25,mean,val_realistic,,0.5,0.864577,0.509353,0.674695,0.367594,0.583333,0.450264,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
c3_vitl_ndvi_scale25,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB+NDVI,25,std,val_realistic,,0.5,0.01744,0.024597,0.021515,0.031397,0.015152,0.021917,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
c3_vitl_ndvi_scale50,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB+NDVI,50,mean,val_realistic,,0.5,0.86976,0.560796,0.718441,0.333792,0.616161,0.432851,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
c3_vitl_ndvi_scale50,dinov3sat_vitl,vit_large_patch16_dinov3.sat493m,RGB+NDVI,50,std,val_realistic,,0.5,0.000328,0.021514,0.01757,0.003167,0.030617,0.008475,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_25,efficientnet,efficientnet-b5,RGB+NDVI,25,mean,val_realistic,,0.5,0.792889,0.389644,0.558913,0.291893,0.366162,0.324588,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_25,efficientnet,efficientnet-b5,RGB+NDVI,25,std,val_realistic,,0.5,0.049178,0.062067,0.062754,0.02575,0.038876,0.02966,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_50,efficientnet,efficientnet-b5,RGB+NDVI,50,mean,val_realistic,,0.5,0.854614,0.465714,0.635089,0.293393,0.426768,0.34726,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_50,efficientnet,efficientnet-b5,RGB+NDVI,50,std,val_realistic,,0.5,0.018606,0.030298,0.028174,0.01318,0.053211,0.025786,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_75,efficientnet,efficientnet-b5,RGB+NDVI,75,mean,val_realistic,,0.5,0.883556,0.537421,0.698433,0.30146,0.487374,0.372045,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
scale_ndvi_75,efficientnet,efficientnet-b5,RGB+NDVI,75,std,val_realistic,,0.5,0.009938,0.042934,0.03694,0.034871,0.043077,0.036161,15abf29d92d2d87e0fa1dda802ecc399be7b4a22,n=3
